,Unnamed: 0,id,time,rating,comment
23,23,9dqJrTzx0GvBNb-J0VyeGg,2022-12-18,5 star rating,"Clean, modern, super friendly staff. Everything looks delicious and everything we had was delicious, perfect portions and beautiful plated. Chicken noodle soup was delicious and a gift from heaven after walking in this cold and windy weather. Excellent location, highly recommended."
24,24,9dqJrTzx0GvBNb-J0VyeGg,2022-01-23,2 star rating,Strawberry cake* - is delicious but I found a freakin eye lash on one of the slices I had ordered.Door Dash price $6.75 per slice. I photographed the good piece in the photos. Still gave this other slice a chance and the cake is very fluffy. It's not super sweet and it's very creamy. The strawberries on-top and inside of the cake are very fresh and taste yummy.Do I recommend this location? Only if the location seems clean enough. Kind of scared to order again.
67,67,qrncvjkiKN5Z-JC06ygy6A,2022-12-13,2 star rating,"I don't know where to begin. Let's just say I was very disappointed. So many people spoke highly of this place and my expectations did not reflect my experience.I had a 9:30 reservation and 1/3 people in my party arrived on time. I'll admit, the other 2 including myself arrived about 15 minutes later. You would think their grace period allotted for a 15 minute grace period then you'd immediately be sat down. That was not the case. Unfortunately we arrived and waited 45 minutes before we sat down. Granted, we took pictures in the meantime (in their beautiful hallway that was monitored closely by their security guard that can make one feel very uncomfortable AND you have a 2 minute time limit to take photos).... This is first time I've ever heard of such a thing.Now we finally sit down and greeted by 1 person that turned out NOT to be our waiter. We must've met about 3 different servers/helpers/kitchen aids. The food came out very quickly and the temperature was perfect. I was so excited to eat their peking duck but was GRAVELY disappointed to see how much OIL AND GREASE followed each piece. Now all of us fuck eaters know what we're signing up for when we order duck - it's fatty and tasteful. Their version was just GREASE. I couldn't even finish it. I'm not sure if they rushed it because we were the last seating of the night but it was not what I wanted.Now towards the end of our meal we're ready for the bill. One of the 3 gentlemen that assisted us came over but ignored me and then proceeded to switch his attention to the other party behind us. No big deal. We just wish he came back sooner so we can get out of there and go home. We didn't get a good look at the bill but just paid quickly. Fast forward a few days later I reached out to them to request a copy of the bill. It legit took them 5 days to send me a PDF of the bill. I've spoken to 3 different people, and they were the least bit helpful with the exception of one hostess with a French accent. Thank you to them!Ultimately, the bar tenders are nice, the food is a solid 7/10 minus the duck and the drinks are tasteful. I didn't enjoy my experience and wish I got the experience I pictured to celebrate my birthday. And I wish we were treated with royalty like I've seen with other clients. Just not my cup of tea."
67,67,qrncvjkiKN5Z-JC06ygy6A,2022-12-13,2 star rating,"I don't know where to begin. Let's just say I was very disappointed. So many people spoke highly of this place and my expectations did not reflect my experience.I had a 9:30 reservation and 1/3 people in my party arrived on time. I'll admit, the other 2 including myself arrived about 15 minutes later. You would think their grace period allotted for a 15 minute grace period then you'd immediately be sat down. That was not the case. Unfortunately we arrived and waited 45 minutes before we sat down. Granted, we took pictures in the meantime (in their beautiful hallway that was monitored closely by their security guard that can make one feel very uncomfortable AND you have a 2 minute time limit to take photos).... This is first time I've ever heard of such a thing.Now we finally sit down and greeted by 1 person that turned out NOT to be our waiter. We must've met about 3 different servers/helpers/kitchen aids. The food came out very quickly and the temperature was perfect. I was so excited to eat their peking duck but was GRAVELY disappointed to see how much OIL AND GREASE followed each piece. Now all of us fuck eaters know what we're signing up for when we order duck - it's fatty and tasteful. Their version was just GREASE. I couldn't even finish it. I'm not sure if they rushed it because we were the last seating of the night but it was not what I wanted.Now towards the end of our meal we're ready for the bill. One of the 3 gentlemen that assisted us came over but ignored me and then proceeded to switch his attention to the other party behind us. No big deal. We just wish he came back sooner so we can get out of there and go home. We didn't get a good look at the bill but just paid quickly. Fast forward a few days later I reached out to them to request a copy of the bill. It legit took them 5 days to send me a PDF of the bill. I've spoken to 3 different people, and they were the least bit helpful with the exception of one hostess with a French accent. Thank you to them!Ultimately, the bar tenders are nice, the food is a solid 7/10 minus the duck and the drinks are tasteful. I didn't enjoy my experience and wish I got the experience I pictured to celebrate my birthday. And I wish we were treated with royalty like I've seen with other clients. Just not my cup of tea."
78,78,vpkTNjq9dRh9rT3Nh0pe-A,2023-02-27,5 star rating,My cousins from out of town were visiting and we walked in and ordered 3 slices and the shop was a well oiled machine on a Saturday afternoon. The outside seating was greatly appreciated with trash cans close by. Delicious hot thin crust cheesy pizza.
92,92,UBqLK5kg0kT72CIaBYa5Zg,2023-01-06,5 star rating,"We wanted to go to the diner next door, but there was a line and it was raining. This restaurant was close and it was a great option. The staff was friendly and quick. The food was great and the margaritas were tasty and a good amount of tequila. The environment is clean and comfortable. If you like Mexican food this is a safe bet."
111,111,go9fTb59h5WJ_e5Guw-Y8g,2022-10-08,1 star rating,THIS IS THE SLOWEST CHIPOTLE I have been to in this area. The staff is to busy carrying on their own conversations very loudly obviously and rudely in Spanish. The girl wasn't even paying attention to anything I was telling her and had the nerve to get an attitude when I started getting aggressive with her. It took me 20 mins to get my order done I couldn't even enjoy my lunch because of all the time I spent in there.  Chipotle isn't the same this location just hired people that want to come to work to hang out it wasn't clean there wasn't any napkins or eating utensils stocked . I didn't even want to ask the girl for a spoon because her attitude was just too much .
119,119,go9fTb59h5WJ_e5Guw-Y8g,2022-04-16,1 star rating,"This place is always trash. From poor cleaning habits, to never having ice, avoid going here. Go to Pot Belly's next door if you're hungry. This place has rude workers, it's slow, overpriced and undercooked rice."
121,121,go9fTb59h5WJ_e5Guw-Y8g,2022-10-08,1 star rating,THIS IS THE SLOWEST CHIPOTLE I have been to in this area. The staff is to busy carrying on their own conversations very loudly obviously and rudely in Spanish. The girl wasn't even paying attention to anything I was telling her and had the nerve to get an attitude when I started getting aggressive with her. It took me 20 mins to get my order done I couldn't even enjoy my lunch because of all the time I spent in there.  Chipotle isn't the same this location just hired people that want to come to work to hang out it wasn't clean there wasn't any napkins or eating utensils stocked . I didn't even want to ask the girl for a spoon because her attitude was just too much .
129,129,go9fTb59h5WJ_e5Guw-Y8g,2022-04-16,1 star rating,"This place is always trash. From poor cleaning habits, to never having ice, avoid going here. Go to Pot Belly's next door if you're hungry. This place has rude workers, it's slow, overpriced and undercooked rice."
131,131,go9fTb59h5WJ_e5Guw-Y8g,2022-10-08,1 star rating,THIS IS THE SLOWEST CHIPOTLE I have been to in this area. The staff is to busy carrying on their own conversations very loudly obviously and rudely in Spanish. The girl wasn't even paying attention to anything I was telling her and had the nerve to get an attitude when I started getting aggressive with her. It took me 20 mins to get my order done I couldn't even enjoy my lunch because of all the time I spent in there.  Chipotle isn't the same this location just hired people that want to come to work to hang out it wasn't clean there wasn't any napkins or eating utensils stocked . I didn't even want to ask the girl for a spoon because her attitude was just too much .
139,139,go9fTb59h5WJ_e5Guw-Y8g,2022-04-16,1 star rating,"This place is always trash. From poor cleaning habits, to never having ice, avoid going here. Go to Pot Belly's next door if you're hungry. This place has rude workers, it's slow, overpriced and undercooked rice."
141,141,go9fTb59h5WJ_e5Guw-Y8g,2022-10-08,1 star rating,THIS IS THE SLOWEST CHIPOTLE I have been to in this area. The staff is to busy carrying on their own conversations very loudly obviously and rudely in Spanish. The girl wasn't even paying attention to anything I was telling her and had the nerve to get an attitude when I started getting aggressive with her. It took me 20 mins to get my order done I couldn't even enjoy my lunch because of all the time I spent in there.  Chipotle isn't the same this location just hired people that want to come to work to hang out it wasn't clean there wasn't any napkins or eating utensils stocked . I didn't even want to ask the girl for a spoon because her attitude was just too much .
149,149,go9fTb59h5WJ_e5Guw-Y8g,2022-04-16,1 star rating,"This place is always trash. From poor cleaning habits, to never having ice, avoid going here. Go to Pot Belly's next door if you're hungry. This place has rude workers, it's slow, overpriced and undercooked rice."
153,153,yBBKdMVbGjSPAgxhDT8zMg,2023-03-20,5 star rating,"After seeing a social media post about Early's Kwason breakfast sandwich, it was clear my taste buds had to experience it. As expected, I ordered the Kwason and it did not disappoint. The goat cheese caked between the soft scrambled eggs gave the sandwich a special touch. It was delicious and costs $9. I also ordered a drip coffee (they use Partners coffee) and a chocolate croissant for the road. Staff was extra friendly and very knowledgeable about the menu and ingredients. The shop is very cute, clean, and minimalistic. There's also indoor seating. I definitely recommend Early and will return."
162,162,PiOv4vMRLaJJoqt_Eyebvw,2023-04-01,1 star rating,"If you are looking for a stomachache, Udom Thai is the place to go! I ordered Drunken Noodles, I received a grease full of noodles with little to no vegetables and flavor. Disappointed and disgusted is an understatement. I will NEVER order from Udom again! I want my $15 back - cash app me $Khalid85."
164,164,PiOv4vMRLaJJoqt_Eyebvw,2022-03-03,2 star rating,"I'll try my best to keep it short Ambiance 3/5: cute, no frills, good music playing Service 2/5: great at first then rude after I had an issue Food 3.5/5: depends on what you orderDrinks 3/5: good, cheap, light alcohol The problem I had with this place was that I ordered a dish which was really nasty (I'm sorry). The Mongolian Beef...I thought I knew what it would taste like bc I've had it elsewhere and it was delicious...well let me be the first to say don't order this. I didn't rate them low because the dish wasn't good, it was what transpired after. So I get the dish and immediately I knew I made a mistake. It looked very weird, the beef and sauce was grayish, and there were all these crunchy noodles, I tasted it and was repulsed. So I called the waiter and told her how sorry I was, this actually has never happened to me before, so I didn't know what to do. I ordered something else and it tasted fine. Also the appetizers were good and everyone else liked their food. So the food is generally good. I just don't like that:1. They seemed personally offended that I didn't like the dish and the older lady who may be a manager or owner, not sure, but she was so nice to me in the beginning and then once this happened, she would walk pass my table and literally give me dirty looks. Just an awkward feeling to have for someone handling your food. I guess it's true what they say, don't return dishes back to the kitchen (or attempt to in my case). 2. They insisted I keep the dish and wrapped it up to go, but I told them I didn't like it lol. And they charged me for it at the end. I threw it away outside (sorry again). Yes I get it was my mistake for ordering it, but still a weird way to handle it from a management perspective. And that's why I wouldn't go back."
169,169,PiOv4vMRLaJJoqt_Eyebvw,2022-05-20,1 star rating,"Food over priced and smells really bad, shrimp is dry. If you have $20 to waste on mediocre food, come down to Udom Thai!"
177,177,y9GhIt1MLh6344ODA65NQw,2023-03-16,1 star rating,"Trash place, no quality, dry chicken, says zinger burger but they use a patty from jetro. Staff service is 0/10. They get attitude if you have a request or if you ask them to put a little extra sauce."
201,201,eGIY_25KFspf8KefDQMj-Q,2022-11-20,4 star rating,"Was looking for Thai food in the neighborhood.  Stopped in for Friday lunch and partook in the lunch specials - great deal for appetizer and entree. Note: the size is ""lunch size"" meaning smaller than usual.  My friend got chicken with pad thai noodles and I got chicken with massuman curry, which came with rice.  We both got tom yum soup as the appetizer, which was delicious - tart and savory.  My curry was good too, with a decent amount of chicken. I also got a mango mimosa, which hit the spot.  It wasn't too sweet or watered down, as they can be.The atmosphere was fine - enough room to seat everyone and not too cramped. Service was good.  Bathroom was clean. I saw some pick up orders come through as well.  Would come back, especially for the lunch special."
210,210,Qu3xQh6cQ8BDwHIBaEtHuQ,2022-12-17,5 star rating,"Decided to come back to try out other items on the menu. The food again is delicious and spectacular.  During a busy time the waitress still tended to us while juggling to make the drinks. This time I ordered the BEC brioche, the egg is so soft, smooth and silky. It is not dry and overcooked like all other places that rushed to make eggs. When the plate came to the table, the sandwich is still steaming hot which is what I like about this place. Cooked to order and they put their time to making it good and delicious. The caramelized onions topped the sandwich off with the additional kick of flavor! Also ordered the banana brulee. The pancakes never fail - its still fluffy and soft. One thing I suggest for the establishment is to have better ventilation. The smoke from cooking fumes up to the seating area. The constant smell of oil is not always pleasing. I'm leaving with happy belly full of delicious food but smelling like food on my clothes and jacket."
218,218,Qu3xQh6cQ8BDwHIBaEtHuQ,2022-10-05,3 star rating,"We went here because a friend highly recommended the Matcha Pancakes!The quaint but clean space was halfway filled when we got there on a weekday. We chose to sit at the back since they kept the door ajar on a cold day. We were offered menus immediately but our order was not taken till a tad later. We noticed there's only one service person and one in the kitchen. The cups of coffee were served right away. My disappointment was that my coffee arrived cold. I requested for oatmilk, perhaps that's what did it? The extended wait time for the food caused the others to have their coffee turn cold as well. The Matcha Brûlée was delicious! It had the solid taste and texture that was a delight. The farmer's plate was gone in 60 seconds. I had a taste of the home fries and thought it was good. I didn't get the chance to try the original stack.Do come and give this place a try, but be prepared for the wait time. It's also cash only."
237,237,ft4-eCqO3kukSCsOChMV_g,2022-03-01,4 star rating,"Stopped by last Saturday and it was quite a busy day for them. We had to wait for a little while to get seated. The staff was pretty quick to clean the table and sanitize it. My husband ordered a latte and some breakfast plate & I went with the Chakra Waffles and latte with oat milk. OH MAH GAWD... my plate was HUGE. It was just loaded with a lot of stuff lol. Nutella explosion I say. Plenty of whipped cream, of course. I really appreciated the generosity but man, I was worried I fear for the risk of getting a heart attack. I was actually overwhelmed and had to share some with my husband because it was just too much!The coffee was okay, nothing to rave about. On top of that, they didn't ask to see our vaccination cards. So I was kinda eating in fear... and tried to finish up as fast as I could. Really wish we had a chance to check out this place before the pandemic so we may have had a much better experience.For now, I'm happy to give 4 stars."
257,257,Aa934EMuqCdEV86faZG-0A,2022-07-09,4 star rating,"a semi hidden buckys on park ave located inside an office building's lobby to the right  thats spacious,  clean , well stock , good friendly workers and ample seating including a private quiet area where i can sit  and soak up the free wifi while munching on a slice of lemon pound cake and sipping on a frappe venti cold brew.  not loud and noisy and no obnoxious moron bitching about his or her life. very good place if you have time to waste and want to enjoy a beverage and something decent to munch on."
287,287,Aa934EMuqCdEV86faZG-0A,2022-07-09,4 star rating,"a semi hidden buckys on park ave located inside an office building's lobby to the right  thats spacious,  clean , well stock , good friendly workers and ample seating including a private quiet area where i can sit  and soak up the free wifi while munching on a slice of lemon pound cake and sipping on a frappe venti cold brew.  not loud and noisy and no obnoxious moron bitching about his or her life. very good place if you have time to waste and want to enjoy a beverage and something decent to munch on."
317,317,Aa934EMuqCdEV86faZG-0A,2022-07-09,4 star rating,"a semi hidden buckys on park ave located inside an office building's lobby to the right  thats spacious,  clean , well stock , good friendly workers and ample seating including a private quiet area where i can sit  and soak up the free wifi while munching on a slice of lemon pound cake and sipping on a frappe venti cold brew.  not loud and noisy and no obnoxious moron bitching about his or her life. very good place if you have time to waste and want to enjoy a beverage and something decent to munch on."
377,377,1_JEFOI19hAu3VoODcTUvw,2022-08-02,4 star rating,"Came in for drinks on a Wednesday, early evening. The bar offered a 30% happy hour on our drinks. Drinks were fruity and to the point. No big frills. Price was reasonable.We stayed until around 7 but no one came in for dinner. I haven't tried the food but the location is good, the restaurant is clean and spacious. I'd come back and try their rolls!"
423,423,6IdG1EY4qZ_X9GtqIAmQEg,2023-03-02,4 star rating,"Stopped by on a weekday to get some work done. There were still a few seats available when I arrived. I got a maple latte. The coffee was okay. It was a bit sweeter than I would've liked.There are plenty of tables. There's free wifi, and there is a restroom that is clean. Not a lot of outlets though, so if you plan to work on your laptop, make sure it's fully charged before you go. Staff are nice. They brought the drink to me. Prices are fair."
427,427,6IdG1EY4qZ_X9GtqIAmQEg,2023-02-15,2 star rating,It's a funky basement type coffee shop that doesn't prioritize excellent beans or barista skills.  The cappuccinos are mostly milk.  The staff is nice but the service is slovenly.  Oddly all the bright colors don't help the somewhat depressing vibe of the place.  Lots of folks call it homey but it just kind of seems dirty to me.  The outdoor seating is a highlight.  The computer crowd seems to love it.
435,435,AahdCoFHilyFDqoljCpvgw,2022-10-24,1 star rating,This place is the worst it's dirty all over from behind the counter to around the tables all old dry food stuck to everything I seen a mouse run across the floor and told a worker and was then told (oh yea we have those sometimes)and I know why the staff is completely incompetent and all around dirty so I'm not surprised there incapable of keeping there works spaces clean after I seen the mouse and how they handle the food no gloves yelling over my food to other workers I honestly can't believe this place is open and can't believe they were able to find such a worthless group of people and putting them all under one roof should be illegal the amount of stupid in that fast food place is beyond me but I can tell you one thing I would never buy food from that Mac Donald's ever they need to either clean house all new staff or shut down but keeping this place open with those clowns running it shouldn't be an option
435,435,AahdCoFHilyFDqoljCpvgw,2022-10-24,1 star rating,This place is the worst it's dirty all over from behind the counter to around the tables all old dry food stuck to everything I seen a mouse run across the floor and told a worker and was then told (oh yea we have those sometimes)and I know why the staff is completely incompetent and all around dirty so I'm not surprised there incapable of keeping there works spaces clean after I seen the mouse and how they handle the food no gloves yelling over my food to other workers I honestly can't believe this place is open and can't believe they were able to find such a worthless group of people and putting them all under one roof should be illegal the amount of stupid in that fast food place is beyond me but I can tell you one thing I would never buy food from that Mac Donald's ever they need to either clean house all new staff or shut down but keeping this place open with those clowns running it shouldn't be an option
435,435,AahdCoFHilyFDqoljCpvgw,2022-10-24,1 star rating,This place is the worst it's dirty all over from behind the counter to around the tables all old dry food stuck to everything I seen a mouse run across the floor and told a worker and was then told (oh yea we have those sometimes)and I know why the staff is completely incompetent and all around dirty so I'm not surprised there incapable of keeping there works spaces clean after I seen the mouse and how they handle the food no gloves yelling over my food to other workers I honestly can't believe this place is open and can't believe they were able to find such a worthless group of people and putting them all under one roof should be illegal the amount of stupid in that fast food place is beyond me but I can tell you one thing I would never buy food from that Mac Donald's ever they need to either clean house all new staff or shut down but keeping this place open with those clowns running it shouldn't be an option
435,435,AahdCoFHilyFDqoljCpvgw,2022-10-24,1 star rating,This place is the worst it's dirty all over from behind the counter to around the tables all old dry food stuck to everything I seen a mouse run across the floor and told a worker and was then told (oh yea we have those sometimes)and I know why the staff is completely incompetent and all around dirty so I'm not surprised there incapable of keeping there works spaces clean after I seen the mouse and how they handle the food no gloves yelling over my food to other workers I honestly can't believe this place is open and can't believe they were able to find such a worthless group of people and putting them all under one roof should be illegal the amount of stupid in that fast food place is beyond me but I can tell you one thing I would never buy food from that Mac Donald's ever they need to either clean house all new staff or shut down but keeping this place open with those clowns running it shouldn't be an option
