,CAMIS,BORO,ZIPCODE,Latitude,Longitude,CUISINE DESCRIPTION,SCORE,GRADE,GRADE DATE,id,name,review_count,rating,price,location,url
0,50011586.0,Queens,11106,40.76511327,-73.93148222,Chinese,17.0,B,2022-12-01,a-hVnSTC12MY5L3t9yOSJw,Eastern Chinese Restaurant,31,3.0,$,"{'address1': '2105 Broadway', 'address2': '', 'address3': 'Broadway Shopping Ctr', 'city': 'Long Island City', 'zip_code': '11106', 'country': 'US', 'state': 'NY', 'display_address': ['2105 Broadway', 'Broadway Shopping Ctr', 'Long Island City, NY 11106']}",https://www.yelp.com/biz/eastern-chinese-restaurant-long-island-city?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
1,50058248.0,Brooklyn,11217,40.68055705,-73.97766092,Tex-Mex,35.0,Z,2022-11-30,znlol6dCKwjoXpZZwV_ZOg,Nacho Macho Taco,232,4.5,$,"{'address1': '82 5th Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11217', 'country': 'US', 'state': 'NY', 'display_address': ['82 5th Ave', 'Brooklyn, NY 11217']}",https://www.yelp.com/biz/nacho-macho-taco-brooklyn?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
2,50098479.0,Manhattan,10010,40.74243161,-73.99313252,Bakery Products/Desserts,9.0,A,2022-02-23,9dqJrTzx0GvBNb-J0VyeGg,Paris Baguette,35,3.5,$,"{'address1': '700 6th Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10010', 'country': 'US', 'state': 'NY', 'display_address': ['700 6th Ave', 'New York, NY 10010']}",https://www.yelp.com/biz/paris-baguette-new-york-27?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
3,40568591.0,Manhattan,10019,40.76329861,-73.98072675,American,11.0,A,2022-12-29,dNFsMw-z3Vsa5TbJd9Q4Ew,Faces & Names,411,4.0,$$,"{'address1': '159 W 54th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['159 W 54th St', 'New York, NY 10019']}",https://www.yelp.com/biz/faces-and-names-new-york?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
4,40536785.0,Brooklyn,11215,40.67179569,-73.97747641,Coffee/Tea,12.0,A,2022-08-31,M2AfRLalBLSoj8WBxCtbZw,Connecticut Muffin,104,3.0,$$,"{'address1': '171 7th Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11215', 'country': 'US', 'state': 'NY', 'display_address': ['171 7th Ave', 'Brooklyn, NY 11215']}",https://www.yelp.com/biz/connecticut-muffin-brooklyn-2?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
5,50093305.0,Manhattan,10023,40.77521686,-73.98410637,Other,11.0,A,2022-06-14,ybQV8joopvU1_gG2RwLRog,Wok City,104,3.0,$,"{'address1': '153 Amsterdam Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10023', 'country': 'US', 'state': 'NY', 'display_address': ['153 Amsterdam Ave', 'New York, NY 10023']}",https://www.yelp.com/biz/wok-city-new-york?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
6,50095643.0,Manhattan,10022,40.76187959,-73.96842127,Other,27.0,Z,2023-01-17,qrncvjkiKN5Z-JC06ygy6A,Hutong,484,3.5,$$$$,"{'address1': '731 Lexington Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10022', 'country': 'US', 'state': 'NY', 'display_address': ['731 Lexington Ave', 'New York, NY 10022']}",https://www.yelp.com/biz/hutong-new-york?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
7,50095705.0,Manhattan,10012,40.72100337,-73.99612544,Pizza,12.0,A,2022-05-27,vpkTNjq9dRh9rT3Nh0pe-A,Nolita Pizza,191,4.5,$,"{'address1': '68 Kenmare St', 'address2': None, 'address3': None, 'city': 'New York', 'zip_code': '10012', 'country': 'US', 'state': 'NY', 'display_address': ['68 Kenmare St', 'New York, NY 10012']}",https://www.yelp.com/biz/nolita-pizza-new-york-2?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
8,50099190.0,Queens,11368,40.74987557,-73.86250863,Chinese,12.0,A,2022-05-19,Gh4TyhJSqL_24fplLvVpGw,China Cocina,19,4.0,$$,"{'address1': '103-10 Roosevelt Ave', 'address2': '', 'address3': None, 'city': 'Queens', 'zip_code': '11368', 'country': 'US', 'state': 'NY', 'display_address': ['103-10 Roosevelt Ave', 'Queens, NY 11368']}",https://www.yelp.com/biz/china-cocina-queens?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
10,41289258.0,Manhattan,10036,40.75933377,-73.99195401,Mexican,11.0,A,2022-10-07,UBqLK5kg0kT72CIaBYa5Zg,Patron Mexican Grill,484,3.5,$$,"{'address1': '608 9th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['608 9th Ave', 'New York, NY 10036']}",https://www.yelp.com/biz/patron-mexican-grill-new-york-3?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
11,50107241.0,Manhattan,10024,40.78800066,-73.9767472,Other,0.0,A,2022-06-09,Fm2XUIqr62M6IznAS-kJBw,Broad Nosh Bagels,89,4.0,$,"{'address1': '2350 Broadway', 'address2': None, 'address3': None, 'city': 'New York', 'zip_code': '10024', 'country': 'US', 'state': 'NY', 'display_address': ['2350 Broadway', 'New York, NY 10024']}",https://www.yelp.com/biz/broad-nosh-bagels-new-york?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
12,40976804.0,Manhattan,10017,40.75238418,-73.97429813,Tex-Mex,10.0,A,2022-12-21,go9fTb59h5WJ_e5Guw-Y8g,Chipotle Mexican Grill,60,2.0,$,"{'address1': '150 E 44th St', 'address2': 'Frnt 1', 'address3': '', 'city': 'New York', 'zip_code': '10017', 'country': 'US', 'state': 'NY', 'display_address': ['150 E 44th St', 'Frnt 1', 'New York, NY 10017']}",https://www.yelp.com/biz/chipotle-mexican-grill-new-york-81?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
13,40976804.0,Manhattan,10017,40.75238418,-73.97429813,Tex-Mex,10.0,A,2022-12-21,go9fTb59h5WJ_e5Guw-Y8g,Chipotle Mexican Grill,60,2.0,$,"{'address1': '150 E 44th St', 'address2': 'Frnt 1', 'address3': '', 'city': 'New York', 'zip_code': '10017', 'country': 'US', 'state': 'NY', 'display_address': ['150 E 44th St', 'Frnt 1', 'New York, NY 10017']}",https://www.yelp.com/biz/chipotle-mexican-grill-new-york-81?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
14,40976804.0,Manhattan,10017,40.75238418,-73.97429813,Tex-Mex,10.0,A,2022-02-16,go9fTb59h5WJ_e5Guw-Y8g,Chipotle Mexican Grill,60,2.0,$,"{'address1': '150 E 44th St', 'address2': 'Frnt 1', 'address3': '', 'city': 'New York', 'zip_code': '10017', 'country': 'US', 'state': 'NY', 'display_address': ['150 E 44th St', 'Frnt 1', 'New York, NY 10017']}",https://www.yelp.com/biz/chipotle-mexican-grill-new-york-81?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
15,40976804.0,Manhattan,10017,40.75238418,-73.97429813,Tex-Mex,10.0,A,2022-02-16,go9fTb59h5WJ_e5Guw-Y8g,Chipotle Mexican Grill,60,2.0,$,"{'address1': '150 E 44th St', 'address2': 'Frnt 1', 'address3': '', 'city': 'New York', 'zip_code': '10017', 'country': 'US', 'state': 'NY', 'display_address': ['150 E 44th St', 'Frnt 1', 'New York, NY 10017']}",https://www.yelp.com/biz/chipotle-mexican-grill-new-york-81?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
18,50019095.0,Brooklyn,11222,40.7321629,-73.95459433,Coffee/Tea,12.0,A,2023-01-25,yBBKdMVbGjSPAgxhDT8zMg,Early,118,4.5,$,"{'address1': '967 Manhattan Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['967 Manhattan Ave', 'Brooklyn, NY 11222']}",https://www.yelp.com/biz/early-brooklyn?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
19,41556098.0,Brooklyn,11238,40.67737502,-73.96367369,Other,57.0,Z,2022-12-28,PiOv4vMRLaJJoqt_Eyebvw,Udom Thai,380,3.0,$$,"{'address1': '661 Washington Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11238', 'country': 'US', 'state': 'NY', 'display_address': ['661 Washington Ave', 'Brooklyn, NY 11238']}",https://www.yelp.com/biz/udom-thai-brooklyn-2?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
20,50095387.0,Queens,11365,40.73944682,-73.79075138,Other,12.0,A,2022-01-26,y9GhIt1MLh6344ODA65NQw,Halal Boyz,134,3.5,$,"{'address1': '183-20 Horace Harding Expy', 'address2': '', 'address3': None, 'city': 'Fresh Meadows', 'zip_code': '11365', 'country': 'US', 'state': 'NY', 'display_address': ['183-20 Horace Harding Expy', 'Fresh Meadows, NY 11365']}",https://www.yelp.com/biz/halal-boyz-fresh-meadows?adjust_creative=52-B7TATqvZKIJZ4W02fbA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=52-B7TATqvZKIJZ4W02fbA
