,id,time,rating,comment
0,a-hVnSTC12MY5L3t9yOSJw,7/28/2020,5 star rating,"Always on time with the food, and nothing is ever soggy. Always crispy and cooked perfectly"
1,a-hVnSTC12MY5L3t9yOSJw,12/29/2019,4 star rating,"They used to be very good and the best one in town for me. But now.. they are still ok but never order general taos chicken or sesame chicken. It's just little fried of nothing with sause on it. Still good price, and there are not any greater place than here..(so mean to say but truth)The closest Chinese restaurant. That got another star."
2,a-hVnSTC12MY5L3t9yOSJw,9/4/2020,1 star rating,The guy taking orders is rude af. This place sucks ass. Go spend your money elsewhere where you're appreciated.
3,a-hVnSTC12MY5L3t9yOSJw,1/16/2019,4 star rating,"THIS is my beloved daughter's "" GO TO""  for Chinese last minute comfort take out food.   But more important,  the STAFF are GREAT... they truly listen, get to recognize/ know you  and take care of you. AND you get a free soda!!!She moved here just a year ago from the other end of Astoria-- more gentrified.  I like this area,  it feels more grounded, real, with genuine normal families, seniors all sizes shapes colors.  And this shopping center is truly GREAT! Very very well choreographed by the owners.  Perfect retail mix!!!I always ask the staff,"" what is your favorite dish"" and this time it really worked.  He recommended beef with scallions.  Wonderful!  I also love the very generous sized ( compared to others) FRESH delicious shrimp dishes. Seasoning could be stronger,  for me i love a wider use with a stronger "" hand"" of spices since i love to cook.   But for a convenient CLOSE take out with OUTSTANDING prices and good portions ( value), you really can't find better options!And great staff.Enjoy!"
4,a-hVnSTC12MY5L3t9yOSJw,3/16/2016,5 star rating,"Look, I'm gonna be honest this ain't the sit down Chinese food of Flushing. This is fast food 70's American Chinese. Generals Tso's, fried rice and chicken wings kinda place. With that in mind buy what you like, ask for it exactly the way you want it and be satisfied with fast Chinese food. No frills.I like my food spicy so I bring a chili pepper and they cook with it. They make excellent food and now as spicy as I like. Friendly, help and courteous staff make getting what you want painless.I'm not saying this is white table cloth dining but I am saying to can enjoy good takeaway Chinese at a good price. Give them a second try."
5,a-hVnSTC12MY5L3t9yOSJw,9/1/2020,5 star rating,Food was earlier than expected. Food is very good and everything came so perfectly organized and the food very neatly in each container. Will definitely order from this place again.
6,a-hVnSTC12MY5L3t9yOSJw,1/30/2017,5 star rating,"Look, I have to tell you all I barely eat Chinese since I'm such a skeptic and when I do, it's only certain things that I will do.But this Chinese restaurant is spot-on! Their chicken wings are always delicious and their shrimp and broccoli is too. The egg rolls are fresh and crispy.. mmmmm scrumptious. They also make a mean chow-fun.Go into this place and give them a try. They had a bad rep yearsssss ago before, but growing up in the neighborhood they really have come a long way. Good stuff!"
7,a-hVnSTC12MY5L3t9yOSJw,1/19/2018,4 star rating,"Great value lunch menu with hearty portions, includes soup or soda, these dishes are cheaper than a sandwich in the local area, in fact cheaper than a McKingBurgermeal.Quick and friendly service, dining area is basic but clean.Good idea for a lunch when you fancy something different."
8,a-hVnSTC12MY5L3t9yOSJw,10/22/2016,4 star rating,"I was really weary of trying this place considering the Yelp reviews. But because there was a low number of reviews in general I figured that could be why. Anyway, worth the try. The delivery came on time and everything was there how we asked for it. My bf started with Crab Rangoon. It was good, but it did lack crab. He also ordered some pork steamed dumplings. I had one and it was delicious. He also ordered (sensing a theme?) Sesame Chicken and it was also really good. Better than most. I had steamed vegetable dumplings and they were good. I ordered some wonton soup which I tried the next day and it was good but a little too salty. The wontons were perfect. All in all a good choice in Astoria. Mostly pretty darn good!"
9,a-hVnSTC12MY5L3t9yOSJw,6/21/2019,3 star rating,Each of my recent Seamless orders has contained more rice and less everything else. I think I'm done with this place after today.
10,znlol6dCKwjoXpZZwV_ZOg,8/24/2022,5 star rating,The chicken quesadilla was so good 10/10. I couldn't finish it was all worth it. Frankie is the best !! I will be back
11,znlol6dCKwjoXpZZwV_ZOg,11/7/2022,1 star rating,"I had ordered a couple tacos, An Elote and some ""Tres leche "" cake which by the way wasn't tres leche .  I had one bite of the elote  and immediately I had a salt overload as well it being extremely soggy . Now I was like okay maybe they had a bad corn day but let me enjoy desert I take one bite of their not authentic tres leche and immediately got a sour taste in my mouth which made me spit it out and once I took a sniff I can tell the cake was bad and smelled like spoiled milk . I don't know if this is what they serving to take out guest but they definitely need to do better."
12,znlol6dCKwjoXpZZwV_ZOg,1/27/2022,5 star rating,"Best burrito in nyc, fast and friendlyReviews need to be at least 85 characters....."
13,znlol6dCKwjoXpZZwV_ZOg,10/13/2022,5 star rating,Good food that is quick and authentic! I ordered ahead 15 minutes for pick up and it was done by the time I got there.
14,znlol6dCKwjoXpZZwV_ZOg,4/28/2021,4 star rating,"Oh how I love a good restaurant that serves great authentic mexican food. I came upon this place while visiting another place to eat and decided to come back and give them a try.Well that day have arrived and i was in the mood for some nachos and lots of tacos. I took my friend along for this experience because we both love anything pertaining to Mexican food.Although the covid restrictions and still in tack we decided to sit outside to eat instead because its was a beautiful day and the weather was nicer side that day.Nacho macho is quite small but seemed very cozy we got there and decided right way what we wanted to eat so we got the Loaded nachos with steak , chicken quesadillas, three tacos chicken, steak and fish and the mexican corn.While waiting for our food we got complimentary chips and salsa which was quite good the chips were very crunchy and fresh. Our food started arriving right away i couldn't wait to dive in the nachos were absolutely delicious and definitely loaded a must try will be coming back for more. I only had a chance to eat the fish taco which was delish and the corn was a sweet sensation in the mouth . Everything was so good i am definitely coming back for the loaded nachos."
15,znlol6dCKwjoXpZZwV_ZOg,12/9/2021,5 star rating,"I ordered a huge To-Go order from Nacho Macho Taco for a hungry film crew, and it was a hit! They did such a great job putting together such a big order and the food was so delicious. I also really appreciated them being so nice! I would totally come back here and eat in-person! I also *highly* recommend them for big to-go's :)"
16,znlol6dCKwjoXpZZwV_ZOg,8/28/2022,5 star rating,After Early Amtrak to Brookly dropped by for lunch. Inhaled the food. That delicious. Had the vegetarian burrito. Basics- beans and rice-were fresh and hand made. Hot sauces delicious and tasted hand made. Try it!
17,znlol6dCKwjoXpZZwV_ZOg,3/28/2021,5 star rating,"I used to come here nightly but I haven't visited this location ever since I stopped working in the neighborhood. So yesterday's the first time back in roughly 2 years.Still haven't changed my order. I got the Grilled Chicken Torta, with chipotle sauce and no smashed beans, and split half with my sister. The torta is as tasty and as fulfilling as I remember and it reminded me of why I love this place so much. The chicken is well seasoned and packed with flavor and the entire torta, from the tomatoes down to the avocado, just tastes so fresh.I can only attest to the Grilled Chicken Torta (and well, the nachos), but it really is so darn delicious. Give this place a try, I assure you won't regret it. Will definitely be visiting this restaurant more frequently in the future!"
18,znlol6dCKwjoXpZZwV_ZOg,6/21/2021,5 star rating,"Small little place. The staff at the counter was really nice and efficient. We ordered tacos, nachos, rice and beans. Everything was was good. Chorizo tacos was not salty and too oily like other places. Carneasada taco was good and our. The beans were amazing. Nachos was typical chips and cheese. Would recommend if you're in town."
19,znlol6dCKwjoXpZZwV_ZOg,7/18/2022,5 star rating,Tacos were on point as service was fast! Great for a quick bite close to Barclays without too many people. Solid spot!
20,9dqJrTzx0GvBNb-J0VyeGg,7/2/2022,5 star rating,"My favorite everyday breakfast place. The food is always fresh and tastes AMAZING!My go to bakery treats are Walnut Cream Bread, Coffee Bun, Chocolate Cream Croissant, and Soft Cheese Cake.Definitely if you have chance please come and visit this place, there is a clean inside sitting area as well."
21,9dqJrTzx0GvBNb-J0VyeGg,4/7/2022,5 star rating,"I stopped in the cafe on Monday 4/6/2022 i been to many different cafes in the past and this specific location was the best one i been too the cleanliness from the floor, tables, food displays even down to the bathrooms , the volume of the music , the polite staff and last but not least the delicious and fresh tasting croissant. I would be back keep up the good work !"
22,9dqJrTzx0GvBNb-J0VyeGg,8/9/2022,3 star rating,"We went here for a quick and easy breakfast and it was, but there were some down sides. First the food wasn't fresh, it seemed like it had been in the cases since the early  morning . Second the doughnuts were overly grease and a little soggy but still tasted ok. On a more positive note, The butter bread was good it had a good balance of sweet and savory flavors. Paris Baguette was definitely a good get and go meal."
23,9dqJrTzx0GvBNb-J0VyeGg,11/13/2021,2 star rating,"This is by far one of the dirtiest of the franchise locations. Not only are tables ALWAYS dirty, the seats are so dirty you might feel you need to hover yourself and not sit down. It's about the worst experience eating at this location. Management seems least concerned about the level of dirtiness and uncleanliness."
24,9dqJrTzx0GvBNb-J0VyeGg,11/18/2021,3 star rating,"Stumbled upon this place and found some goodies. Both pastries were good. However like other reviewers mentioned, the place is dirty. Probably would've had a better experience here if the workers actually bothered to wipe the tables."
