,id,time,rating,comment
0,xsrzs3lSD2-xG889sLqAXA,1/11/2023,5 star rating,"Stayed here a few nights while in NYC. I had a bad Air bnb experience, so I showed up and booked my room in person. I believe Jamie took care of me at check-in. I explained my situation and he provided me with a complimentary upgrade and free breakfast. The room was super cute with a nice view and very trendy decor. Its tiny and the walls are kinda thin but it was about $120/night so great value for the area and the service. I tried a few of the other spaces on the property (Bar, restaurant, rooftop). They all fit the vibe of the hotel. The biggest con is that the lobby bar lacks sockets so its difficult to post up and work there all day. Overall, I'd come back."
1,xsrzs3lSD2-xG889sLqAXA,3/31/2023,1 star rating,"I went to the Williamsburg Hotel for what I thought would be an amazing Valentine's Day Experience; it was the complete opposite. My boyfriend and I booked a room and made a dinner reservation for February 14th weeks in advance because we expected the holiday rush. When we got to the hotel, we had a couple hours before dinner so we decided to call and push it from 8pm to 7:30. They agreed. Before heading down to dinner, we decided to take pictures out on the balcony. When we tried going back inside to our dismay the door was locked. We called hotel staff to unlock the door and after 5 attempts and 40 minutes, they finally were able to unlock the door. We were outside in 30 degree weather and I only had on a dress. I had enabled the safety lock on the door while we were getting dressed, which became another issue. They had to break through the door lock in order to get into the room. Once inside, they unlocked the balcony door and inspected it. We were told the door shouldn't, but it has an auto lock that the staff should be more aware of. It's dangerous for families staying here as well; god forbid a child got locked out.After getting out, we missed our dinner reservation so the night manager escorted us down to the restaurant. We waited for 10 minutes so the night manager could inform us the restaurant was full due to an error on their part with the booking system. At this point, the night wasn't looking great as we had nowhere else to eat!They tried to offer us a lobby couch and a small table to have dinner on, which is not what either of us were picturing. After another 15 minutes they pulled a table and chairs from somewhere and gave us a makeshift place seating. We were the only ones in the restaurant not having the same romantic dinner experience as anyone else. Dinner was okay, but you're better off going somewhere with better food.Overall I was very disappointed with the experience, seeing how the Candlelight Series hosted there made us want to stay! If you choose to stay here beware, you might be stranded on your balcony with staff who will tend to you at their own convenience."
2,xsrzs3lSD2-xG889sLqAXA,12/19/2022,5 star rating,"I got to stay here a few days because of work and then paid for the weekend for my birthday. The service is great and everyone is kind and helpful when you need. The food and room service is really good. The location is near every other hotel so if you don't want to eat here, feel free to walk a couple of feet to the next place. Halal truck parked on the corner and deli across the street.The bed is so comfortable and the showers are so pretty. It is a small space and hot giving holiday in rooms but you will enjoy. I had a balcony in my room but it was too cold to even enjoy."
3,xsrzs3lSD2-xG889sLqAXA,10/7/2022,3 star rating,"Pretty interior with hanging lights? Yes! But food-wise? Pretty average.For our dinner, we shared a guacamole + chips appetizer which was solid. I then got the Williamsburg Deluxe, which sounded great on the menu as it was described as a half pound wagyu burger. Turns out the beef patty was a tad bit dry and though the sauce tasted good, I was a bit irked that I ended up with a drippy and pretty soaked bottom bun halfway through. All in all, vibes and portion sizes were good but everything else was just okay."
4,xsrzs3lSD2-xG889sLqAXA,8/27/2022,3 star rating,"Came here to celebrate a friends birthday party on August 7 2PM slot. We were in a cabana (the one in the middle) did not come with curtains or any shade at all. The response we got was only two of cabanas have curtains and the hotel ordered more however it didn't come in yet. This was not an appropriate response for a hotel which had advance notice and knew guests were coming . Two nice and tall girls Sammy and another Girl and the security guard (forgot everyone's names by now) three of them were most helpful that day . They went the extra mile and tried to hang towels for us and did the best they could to create some shade and cover for us. The three staff members did their best in service recovery, apologized on behalf of the hotel while helping my group of friends . I wish I got their 3 names because they are excellent!"
5,xsrzs3lSD2-xG889sLqAXA,6/30/2022,4 star rating,"If you're ever looking for a fun night out, head to the Williamsburg Hotel Rooftop Pool & Bar. This is one of my favorite rooftops in NYC, with one of the best views of the skyline.This rooftop has it all - views, food, drinks and live music. There are three main areas you can chill at.- Poolside: If you're looking to sit, chill with friends, have some food and a drink with some background music that's the place for you.- The Rooftop Bar: If you're looking for an outdoors party, go hang by the DJ booth. Grab some drinks at the bar and you'll be sure to have a fun dance party. - The Water Tower: This is my favorite of the three. Floor-to-ceiling glass windows with an amazing view of the skyline. Beautiful lights that give the place an intimate vibe. A small area to make it feel like you're in someone's living room. And of course, live music to make sure you're dancing the night away.In terms of food... We kept it super simple and ordered:- Chips & Guac: The Williamsburg Hotel is one of the ONLY places I've been to with more than enough chips to go with more than enough guac. It was the perfect serving for a group of 4. And it was obviously delicious since there was not even one chip left.- Baja Fish Tacos: I was SO surprised by these. These were SO good!! The fish were cooked to perfection and were actually crispy - which I loved! The sauce was on point and honestly the perfect complement to the fish - it was a Chile Arbol Aioli, and was just the right amount of spicy and creamy. Delicious. These are definitely on the smaller side so keep that in mind depending on how hungry you are!For drinks, I tried the Laguna Sunrise, and was very happy with my choice. It felt like I was sipping on Orange and Cantaloupe juice, but with a hint of sweetness/flora to it (which was probably due to the saffron). Loved it.Only reason I'm giving this place a 4 and not a 5 is that it's actually easier and quicker to get up and order directly at the bar than at your couch/table, which was pretty counterintuitive. If you want a couch/chair/table and want a break from dancing/standing around all night, make sure to grab a reservation at sevenrooms.com/reservati… - Shoutout to Austin who was super nice and super helpful in getting us booked at the greatest area!"
6,xsrzs3lSD2-xG889sLqAXA,11/11/2022,4 star rating,"If it's one thing I love, it's a good view and the aesthetics to go with it. This was my first time at the Williamsburg Hotel Rooftop Bar and it certainly won't be my last. We didn't stay long as I didn't have a jacket and it got really chilly, despite it being a beautiful day in November. To get to the bar, you walk over by the elevators and wait in a line to get on to go up. The line was short so we got up within minutes of walking in. The views were gorgeous and I could only imagine hanging out here on a warm summer night. I didn't eat or drink so I can't tell you how that is but I can surely tell you that this is where you want to come for a fun night out."
7,xsrzs3lSD2-xG889sLqAXA,6/30/2022,4 star rating,I came here to hear an out of town indigenous performer and medicine man perform Amazonian songs. The place is utterly beautiful. You enter the entrance and then you take the stairs down then you have to take an elevator to go to the rooftop.I felt bad that there was a father with his little toddler going to the event with his ticket and he was turned away because of his child. There was nothing on the event flyer saying this but it's no fault of the hotel.Although the line to the event is long it went rather quickly.Three event was supposed to be at 6 PM but the music didn't start till 830.. The staff was very professional and courteous I have attached some pictures. The drinks or in the $18 an up range.
8,xsrzs3lSD2-xG889sLqAXA,6/24/2022,4 star rating,"I love the views of the Manhattan and Brooklyn. The drinks were good and the tacos and guacamole was tasty. I tried the fish and birria tacos. The consome was delicious. I had the playa margarita which was Casamigos, watermelon juice, and cilantro syrup. Very refreshing and tasty with the right amount of alcohol.The downfall was they only placed straight electronica/EDM all night long. The seating arrangement is super cute and there is no dress code. The pool is for hotel guest only and the staff was friendly. At times it was a wait to order. I recommend coming early so you can get seating and make a reservation."
9,xsrzs3lSD2-xG889sLqAXA,5/30/2022,5 star rating,"Elite Yelp review on 5-30-22The Williamsburg Hotel restaurant -Brooklyn, NYChef Africa WeathersMgr Andy Olmos VadoServer NoaHostess ChloeBartender MarcelAMBIANCE ~Exquisitely decorated. Lights and decor with attention to detail is wonderful. I loved the ambience,  the hanging lamps to the colorful chandelier over the bar to the pillows placed just perfectly for an inviting place to sit, everywhere.SERVICEThe service here was excellent! Noa was courteous and kind. Andy came by To check on us a couple of times, and Chloe the hostess even stopped over to make sure everything was OK.The food runners were also prompt and courteous. FOOD/DRINKSHats off to the shop the truffle pizza was the divine Caesar salad was excellent and the phone and ribeye was cooked to perfection.Wine-The Palm Whispering Angel RoseCeasar saladTruffle PizzaBone in ribeye w smashed potatoes and asparagus Perfectly cooked MRRESTROOMSClean, elegant decorOVERALLWe had a great meal and great service. The restaurant was beautiful. We felt taken care of and appreciated.The staff was wonderful, they all worked together and had an incredible vibe that created a great experience. We will def be back and bring friends! If you want a nice Meal with friends or date night, or you have friends in town  or celebrating something special, definitely bring them here! Tell them Peggy and Diana sent you for extra love!"
10,huOYFLpe3EQKFeDVoxk6Hw,2/13/2023,4 star rating,"wandered here on a Monday night and this bar hit the spot vibes were on point - not too crowded, music was good but not too loud that I couldn't talk. Def wanna come back on a weekend bc I imagine it'll be a lot of fun Drinks were solid too  great night! $10 martinis on Monday night and my gf did not hesitate on the opportunity!"
11,huOYFLpe3EQKFeDVoxk6Hw,3/26/2023,5 star rating,"I can't speak of their food, but had drinks here with friends around 3pm on a Saturday. It was crowded, but the bartenders were very efficient and we didn't wait long for mixed drinks. They serve carafes of their signature cocktails, which were all delicious! My favorite had mint and cucumber. The decor was definitely my vibe, which was had tropical decor, disco balls, and awesome lighting"
12,huOYFLpe3EQKFeDVoxk6Hw,2/8/2023,5 star rating,"Not only is this restaurant gorgeous the service, the staff was more then amazing . If u want a great night out go on a Tuesday reggae allNight. The bartender serves up the best cocktails. Everyone is so friendly very accommodating. I can't wait until the weather breaks to enjoy a summer night in this establishment"
13,huOYFLpe3EQKFeDVoxk6Hw,3/16/2023,3 star rating,"Went here on a Tuesday night to grab a drink before a super late dinner rez at a restaurant around the corner. The lighting and decor was retro, funky and cool with a Hawaiian feel to it. There were hardly any people there but for a Tuesday night I guess that's the way it is. Unfortunately the drinks didn't really hit the mark for me - I asked for a Mojito and got a super sour cocktail with a mysterious red topper. Bartender was attentive but seemed a bit stand offish. Probably not going to come back here any time soon."
