CAMIS,DBA,BORO,ZIPCODE,Latitude,Longitude,CUISINE DESCRIPTION,SCORE,GRADE,GRADE DATE
50088430.0,CHICKEN SHACK,Bronx,10465.0,40.82007916,-73.81784005,Chicken,10.0,A,2022-12-06
50086984.0,RUBY'S VINTAGE HARLEM,Manhattan,10030.0,40.8166439,-73.94272982,Mexican,12.0,A,2022-06-02
50011586.0,EASTERN CHINESE RESTAURANT,Queens,11106.0,40.76511327,-73.93148222,Chinese,17.0,B,2022-12-01
50098297.0,HUNTSPOINT CHINESE RESTAURANT,Bronx,10459.0,40.81954237,-73.8928937,Chinese,11.0,A,2022-05-31
50033952.0,FOREVER TASTE RESTAURANT,Manhattan,10002.0,40.71285378,-73.99000457,Chinese,9.0,A,2022-12-19
41702787.0,DUNKIN,Brooklyn,11229.0,40.61033047,-73.95451184,Coffee/Tea,12.0,A,2022-04-12
50058248.0,NACHO MACHO TACO,Brooklyn,11217.0,40.68055705,-73.97766092,Tex-Mex,35.0,Z,2022-11-30
50098479.0,PARIS BAGUETTE,Manhattan,10010.0,40.74243161,-73.99313252,Bakery Products/Desserts,9.0,A,2022-02-23
50066414.0,THE CITY DINER,Queens,11378.0,40.72360558,-73.89975889,American,0.0,A,2022-02-02
40568591.0,FACES & NAMES,Manhattan,10019.0,40.76329861,-73.98072675,American,11.0,A,2022-12-29
40536785.0,CONNECTICUT MUFFIN,Brooklyn,11215.0,40.67179569,-73.97747641,Coffee/Tea,12.0,A,2022-08-31
50115208.0,DUAL TOWNE PLACE SUITES/SPRINGHILL SUITES,Manhattan,10001.0,40.74654592,-73.99176068,Other,23.0,B,2022-11-15
50093305.0,WOK CITY,Manhattan,10023.0,40.77521686,-73.98410637,Chinese/Japanese,11.0,A,2022-06-14
50085329.0,KUSHI ASIAN FUSION,Brooklyn,11214.0,40.60538516,-73.99958225,Japanese,10.0,A,2023-02-22
50039716.0,MEXICAN TAMALES MARTITA,Staten Island,10302.0,40.63853364,-74.13293371,Mexican,12.0,A,2022-01-10
40927832.0,SIP N CHAT COCKTAIL,Brooklyn,11226.0,40.6408832,-73.94926982,Caribbean,10.0,A,2022-11-07
50125786.0,INDAY,Manhattan,10018.0,40.7534321,-73.98715067,Indian,7.0,A,2022-11-01
50083511.0,DRAGON SEA,Bronx,10457.0,40.84803146,-73.88861867,Chinese,7.0,A,2022-07-25
50121811.0,GRACE THAI II,Queens,11385.0,40.70047203,-73.90221736,Thai,12.0,A,2022-08-22
50092271.0,CJ'S CAFE,Brooklyn,11226.0,40.65073804,-73.95879071,Caribbean,11.0,A,2022-02-22
41390570.0,18 BAKERY INC,Brooklyn,11204.0,40.6172259,-73.99211169,Bakery Products/Desserts,51.0,C,2022-10-26
50095643.0,HUTONG,Manhattan,10022.0,40.76187959,-73.96842127,Asian/Asian Fusion,27.0,Z,2023-01-17
41168644.0,TETE-A-TETE,Brooklyn,11235.0,40.58782899,-73.9552473,Russian,13.0,A,2022-01-14
40972759.0,GATE WAY BEER GARDEN,Brooklyn,11208.0,40.68187805,-73.87836205,Caribbean,10.0,A,2022-03-08
41714316.0,CHEUNG HING KITCHEN,Queens,11434.0,40.69063531,-73.77845377,Chinese,13.0,A,2022-03-01
50095705.0,NOLITA PIZZA,Manhattan,10012.0,40.72100337,-73.99612544,Pizza,12.0,A,2022-05-27
50018356.0,BRICKTOWN BAGELS & CAFE,Queens,11101.0,40.74182441,-73.95443615,Bagels/Pretzels,11.0,A,2023-02-27
50086121.0,MIRA CALI BAKERY #6,Queens,11372.0,40.74763192,-73.88378142,Bakery Products/Desserts,12.0,A,2022-07-27
50032585.0,DRAGON CITY RESTAURANT,Queens,11435.0,40.69821752,-73.80635983,Chinese,7.0,A,2022-11-28
50094677.0,BURLY COFFEE,Brooklyn,11205.0,40.69053467,-73.95201569,Coffee/Tea,7.0,A,2022-05-26
50099190.0,CHINA COCINA,Queens,11368.0,40.74987557,-73.86250863,Chinese,12.0,A,2022-05-19
41668500.0,SUNSHINE RESTAURANT,Queens,11004.0,40.73640398,-73.71264521,Indian,13.0,A,2022-11-21
50047785.0,CAPPONE'S,Manhattan,10011.0,40.74186904,-74.00471301,Italian,4.0,A,2022-06-16
40397810.0,OLYMPIA,Queens,11105.0,40.7701291,-73.90939661,American,2.0,A,2023-01-12
50111772.0,LE PAIN QUOTIDIEN,Brooklyn,11201.0,40.69216105,-73.99115079,French,4.0,A,2022-10-11
41593277.0,ELENA'S RESTUARANT,Bronx,10453.0,40.85192264,-73.90952696,Mexican,13.0,A,2022-08-30
41289258.0,PATRON MEXICAN GRILL,Manhattan,10036.0,40.75933377,-73.99195401,Mexican,11.0,A,2022-10-07
50106962.0,PICK N PAY,Brooklyn,11213.0,40.66939469,-73.93105103,Caribbean,0.0,A,2022-09-08
50018155.0,NO. 1 KITCHEN,Bronx,10459.0,40.82006057,-73.9014665,Chinese,0.0,Z,2022-01-24
50107241.0,BROAD NOSH BAGELS,Manhattan,10024.0,40.78800066,-73.9767472,Sandwiches/Salads/Mixed Buffet,0.0,A,2022-06-09
50051535.0,PABELLON,Bronx,10472.0,40.82852412,-73.87996831,Chinese,27.0,B,2023-01-30
40976804.0,CHIPOTLE MEXICAN GRILL,Manhattan,10017.0,40.75238418,-73.97429813,Tex-Mex,10.0,A,2022-12-21
41504734.0,WAH MING HOUSE CHINESE RESTAURANT,Brooklyn,11208.0,40.68448382,-73.86927111,Chinese,2.0,A,2022-11-21
50128158.0,OOPS TEA,Brooklyn,11237.0,40.70094567,-73.92213543,Asian/Asian Fusion,10.0,A,2023-01-12
50067841.0,RANDOLPH BEER,Brooklyn,11201.0,40.70008487,-73.98752885,American,13.0,A,2022-05-25
50040406.0,DOUGH,Manhattan,10169.0,40.75450075,-73.97595043,Donuts,12.0,A,2022-03-31
50132610.0,SOLID STATE COFFEE,Manhattan,10023.0,40.7768328,-73.97957463,Coffee/Tea,13.0,A,2023-03-13
41391832.0,HARD ROCK CAFE,Bronx,,0.0,0.0,American,10.0,A,2023-02-10
50019095.0,EARLY,Brooklyn,11222.0,40.7321629,-73.95459433,Coffee/Tea,12.0,A,2023-01-25
41556098.0,UDOM THAI,Brooklyn,11238.0,40.67737502,-73.96367369,Thai,57.0,Z,2022-12-28
50095387.0,HALAL BOYZ,Queens,11365.0,40.73944682,-73.79075138,Middle Eastern,12.0,A,2022-01-26
50063195.0,JOE COFFEE COMPANY,Manhattan,10018.0,40.75316273,-73.98410804,Coffee/Tea,12.0,A,2022-04-13
50112948.0,Wingstop,Queens,11416.0,40.68993427,-73.84253332,Chicken,13.0,A,2022-01-06
50056512.0,INCA'S GRILL PERUVIAN KITCHEN,Staten Island,10306.0,40.57909934,-74.10819159,Peruvian,13.0,A,2022-12-08
41623468.0,POTBELLY SANDWICH SHOP,Manhattan,10003.0,40.73739207,-73.99099682,Sandwiches/Salads/Mixed Buffet,13.0,A,2022-03-23
50125858.0,Benvenuto Pizza #2 Corp,Manhattan,10033.0,40.84410132,-73.93573049,Pizza,12.0,A,2022-08-22
40915251.0,ACOSTA RESTAURANT,Manhattan,10025.0,40.80033283,-73.96579516,Latin American,12.0,A,2022-01-27
50111134.0,YUMMI BAKERY,Bronx,10459.0,40.82195664,-73.89171193,Bakery Products/Desserts,13.0,A,2022-01-31
50103047.0,LAN LARB,Manhattan,10016.0,40.7452371,-73.97555319,Thai,10.0,A,2022-02-04
41135587.0,EVERYTHING GOES BOOK CAFE,Staten Island,10301.0,40.63703714,-74.07655387,American,5.0,A,2022-08-10
50068749.0,FESTAC GRILL AND LOUNGE,Brooklyn,11207.0,40.67571969,-73.89014412,African,12.0,A,2022-11-21
50130014.0,BELLY CAKE,Queens,11361.0,40.76604141,-73.77228869,American,12.0,A,2022-12-13
50102528.0,LA FLOR VIEJA,Queens,11106.0,40.76390263,-73.92253084,Mexican,17.0,B,2022-03-01
50093870.0,LOTUS VEGETARIAN,Brooklyn,11226.0,40.65043575,-73.95778544,Vegetarian,9.0,A,2022-12-27
50116787.0,EL VALLE.COM RESTAURANT,Bronx,10473.0,40.81568896,-73.86450728,Spanish,31.0,C,2022-06-02
41163307.0,TAQUERIA SAN PEDRO,Manhattan,10031.0,40.83040284,-73.9475348,Mexican,17.0,B,2022-09-14
41384019.0,LEGENDS NYC,Manhattan,10001.0,40.7479314,-73.98546269,American,12.0,A,2023-02-14
41456522.0,MAGNOLIA BAKERY,Manhattan,10017.0,40.75186876,-73.97706304,Bakery Products/Desserts,8.0,A,2022-01-26
50130600.0,YUJU'S BOB-SANG,Queens,11354.0,40.76488941,-73.812147,Korean,10.0,A,2023-01-17
50114501.0,CHAKRA CAFE,Queens,11104.0,40.74335939,-73.92041479,Coffee/Tea,0.0,A,2022-05-23
50087110.0,PAPA JOHN'S PIZZA,Queens,11385.0,40.71298178,-73.90773233,Pizza,7.0,A,2022-11-23
50018582.0,Lin MINI CAFE,Brooklyn,11220.0,40.6420527,-74.00273852,Chinese,12.0,A,2022-06-21
50048761.0,STARBUCKS COFFEE,Manhattan,10065.0,40.76428561,-73.96457192,Coffee/Tea,13.0,A,2022-01-13
50114365.0,SUBWAY,Brooklyn,11228.0,40.62011617,-74.00760409,Sandwiches/Salads/Mixed Buffet,29.0,C,2022-04-15
50017755.0,CALEDONIA,Manhattan,10028.0,40.77624034,-73.95294661,Irish,10.0,A,2023-01-08
50125874.0,DUNKIN DONUTS,Manhattan,10017.0,40.75377853,-73.97433008,Donuts,9.0,A,2022-08-15
50093645.0,DOMINOS,Brooklyn,11206.0,40.70835529,-73.94338229,Pizza,3.0,Z,2022-12-16
41232906.0,SHANGHAI RESTAURANT,Queens,11435.0,40.69820648,-73.8063274,Chinese,10.0,A,2022-12-15
