,id,name,review_count,rating,price,location,zip_code
0,s9pxTIWRwCHzMAOHbcmuFw,Chicken Shack,109,3.0,$$,"{'address1': '36-19 Broadway', 'address2': '', 'address3': '', 'city': 'Astoria', 'zip_code': '11106', 'country': 'US', 'state': 'NY', 'display_address': ['36-19 Broadway', 'Astoria, NY 11106']}",11106
1,e08qVeVYBR-0QI_G0NDZpw,Sugar Monk,152,4.5,$$,"{'address1': '2292 Frederick Douglass Blvd', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10027', 'country': 'US', 'state': 'NY', 'display_address': ['2292 Frederick Douglass Blvd', 'New York, NY 10027']}",10027
2,a-hVnSTC12MY5L3t9yOSJw,Eastern Chinese Restaurant,31,3.0,$,"{'address1': '2105 Broadway', 'address2': '', 'address3': 'Broadway Shopping Ctr', 'city': 'Long Island City', 'zip_code': '11106', 'country': 'US', 'state': 'NY', 'display_address': ['2105 Broadway', 'Broadway Shopping Ctr', 'Long Island City, NY 11106']}",11106
3,JWQlPP4Oxrtwb0rNjnVgIg,Hunts Point Chinese Restaurant,8,4.0,,"{'address1': '901 Southern Blvd', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10459', 'country': 'US', 'state': 'NY', 'display_address': ['901 Southern Blvd', 'Bronx, NY 10459']}",10459
4,nXh79laNQ7leN92F5Ore-Q,Forever Taste,52,4.0,$,"{'address1': '27 Rutgers St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['27 Rutgers St', 'New York, NY 10002']}",10002
5,aYLRu3W-mzdqxJIOom6K9Q,Dunkin',20,2.5,$,"{'address1': '1903 Kings Hwy', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11229', 'country': 'US', 'state': 'NY', 'display_address': ['1903 Kings Hwy', 'Brooklyn, NY 11229']}",11229
6,znlol6dCKwjoXpZZwV_ZOg,Nacho Macho Taco,232,4.5,$,"{'address1': '82 5th Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11217', 'country': 'US', 'state': 'NY', 'display_address': ['82 5th Ave', 'Brooklyn, NY 11217']}",11217
7,9dqJrTzx0GvBNb-J0VyeGg,Paris Baguette,35,3.5,$,"{'address1': '700 6th Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10010', 'country': 'US', 'state': 'NY', 'display_address': ['700 6th Ave', 'New York, NY 10010']}",10010
8,to-74okh0K990qMkmRM4dg,City Diner,821,3.0,$$,"{'address1': '31 Montgomery St', 'address2': '', 'address3': '', 'city': 'Jersey City', 'zip_code': '07302', 'country': 'US', 'state': 'NJ', 'display_address': ['31 Montgomery St', 'Jersey City, NJ 07302']}",07302
9,dNFsMw-z3Vsa5TbJd9Q4Ew,Faces & Names,411,4.0,$$,"{'address1': '159 W 54th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10019', 'country': 'US', 'state': 'NY', 'display_address': ['159 W 54th St', 'New York, NY 10019']}",10019
